Date,Brk,Hour,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Additional Factors,JM,JA,Cord Serial Number
,B,16,211,6,,AF,,,,,6593 4828
,,16,202,6,,AF,,,,,6593 4828
,,16,195,6,,AF,,,,,6593 4828
,,16,185,6,,AF,,,ZS,CD,6593 4828
,,16,172,21,,BF,,,,,6593 4828
10/28/2024,F,15,215,13,-2,AB,1,,ZS,CD,6593 4828
,,15,185,6,,AF,,,,,6593 4828
,,15,181,21,W0,AF,2,,,,6593 4828
,B,16,200,18,-5,AF,0,,,,6593 4828
,B,17,210,13,,AF,,,,,6593 4828
,,14,184,12,,AF,,,ZS,CD,6593 4828
11/1/2024,F,14,172,17,15,AF,5,,,,6593 4828
,,14,175,12,,AF,,,,,6593 4828
,,14,175,12,,AF,,,,,6593 4828
,,16,190,6,,AF,,,,,6593 4828
,B,16,156,6,,AF,,,ZS,MS,6593 4828
11/2/2024,F,10,194,6,,AF,,,,,6593 4828
,,10,179,25,-2,AF,0,STRAIGHTDOWN,,,6593 4828
,B,11,208,15,-2,AF,0,,,,6593 4828
,,11,194,6,,AF,,,,,6593 4828
,,11,181,6,,AB,,,,,6593 4828
,B,,206,15,-2,AF,1,,,,6593 4828
,,,199,13,W0,AF,0,,,,6593 4828
,,,189,17,-2,AF,0,,,,6593 4828
,,12,189,6,,AF,,,,,6593 4828
,,12,186,6,,AF,,,,,6593 4828
,,12,178,6,,AF,,,,,6593 4828
,,12,177,6,,AF,,,,,6593 4828
,,12,178,6,,AF,,,,,6593 4828
,B,13,210,9,,AF,2,,ZG,MS,6593 4828
,,13,202,12,2,AF,1,,,,6593 4828
,,13,203,6,D0,AF,,,,,6593 4828
,,13,192,17,,AF,0,,MS,ZS,6593 4828
,,13,191,6,-4,AF,,,,,6593 4828
,,13,168,12,,BF,,,,,6593 4828
,B,14,203,16,-3,AF,0,,,,6593 4828
,,14,195,6,,BF,,,,,6593 4828
,,14,188,6,,AF,,,,,6593 4828
,B/2,14,180,6,,AF,,,,,6593 4828
,B,15,211,6,,BF,,,MS,CD,6593 4828
,,15,177,22,-2,AF,2,,MS,CD,6593 4828
,,15,171,24,W0,AF,1,,,,6593 4828
,B,16,176,12,,AB,,,CD,MS,6593 4828
,,16,192,6,,AF,,,,,6593 4828
,,16,190,6,,BF,,,,,6593 4828
,,16,181,6,,AF,,,,,6593 4828
,B,17,192,16,W0,AF,0,,CD,ZG,6593 4828
11/3/2024,F,13,214,6,,AF,,,,,6593 4828
,,13,174,12,,AF,,,,,6593 4828
,,13,174,23,-1,AF,0,,,,6593 4828
,B,14,206,9,,BF,,,,,6593 4828
,,14,194,9,,BF,,,,,6593 4828
,,14,220,6,W0,AF,0,,,,6593 4828
,,14,207,6,3,AF,0,,,,6593 4828
,,14,200,6,6,AF,0,,,,6593 4828
,,14,198,13,2,AF,2,,,,6593 4828
,B,15,216,6,,BF,,,,,6593 4828
,,15,207,10,W0,AF,1,,,,6593 4828
,,15,198,6,,BF,,,,,6593 4828
,,15,200,12,2,AF,3,,,,6593 4828
,,15,196,12,2,AF,2,,CD,ZG,6593 4828
,,15,190,15,D0,AF,0,,,,6593 4828
,,15,185,18,W0,AF,4,,,,6593 4828
,,15,171,31,,AF,,,,,6593 4828
,B,16,217,8,2,AF,1,,,,6593 4828
,,16,184,20,,AF,,,,,6593 4828
,,16,178,8,,AB,,,,,6593 4828
,,17,181,31,,BF,,,,,6593 4828
5/3/2025,F,10,187,23,1,AB,0,,ZG,ZS,6593 4828
,,10,207,6,,AF,,,,,6593 4828
,B,11,176,28,-5,AF,1,,ZS,MS,6593 4828
,B,11,219,5,2,AF,1,,,,6593 4828
,B,12,200,19,-3,AF,5,,,,6593 4828
,,12,188,20,,AF,,,,,6593 4828
,,12,185,20,D0,AF,6,,,,6593 4828
,,12,181,20,-3,AF,1,,,,6593 4828
,,12,159,33,-5,AF,3,,,,6593 4828
,,12,150,33,-3,AF,2,,,,6593 4828
,B,13,199,16,1,BF,1,,MS,ZG,6593 4828
,,13,167,12,,AF,,,,,6593 4828
,,13,167,12,,AF,,,,,6593 4828
,B,14,206,15,W0,AF,3,,MS,ZG,6593 4828
,,14,202,11,,AF,,,ZS,ZG,6593 4828
,,14,188,19,-1,AF,3,,ZS,ZG,6593 4828
,,15,176,22,-1,AF,0,,,,6593 4828
,,15,212,9,D0,AF,3,,,,6593 4828
,,15,196,6,,AF,,,,,6593 4828
,B,17,207,13,D0,AF,0,SMALLFLOP,ZS,ZG,6593 4828
,,17,197,6,,AF,,,,,6593 4828
,,17,164,29,-3,AF,1,,,,6593 4828
,B,17,199,17,-1,AF,1,,,,6593 4828
,,17,192,6,,AF,,,,,6593 4828
,,17,156,30,-1,AF,2,,,,6593 4828
5/4/2025,F,11,200,18,W0,AB,1,,MS,TL,6593 4828
,,11,193,16,-2,AF,1,,,,6593 4828
,,11,176,23,D0,AF,2,,,,6593 4828
,,11,182,12,,AF,,,,,6593 4828
,,11,168,18,,AF,,,,,6593 4828
,,11,161,29,-3,AF,1,,,,6593 4828
,B,12,214,13,-1,AF,,,JL,ZG,6593 4828
,,12,203,13,-1,AF,3,,,,6593 4828
,,12,206,11,W0,AF,0,,,,6593 4828
,B,13,210,15,-5,AF,0,,MS,ZG,6593 4828
,,13,208,10,3,AF,0,FLOP,,,6593 4828
,,13,165,12,,AF,,,,,6593 4828
,B,14,207,6,,AF,,,,,6593 4828
,,14,195,6,,AF,,,,,6593 4828
,,14,192,6,,AF,,,,,6593 4828
,B/2,15,168,6,,AF,,,,,6593 4828
,,15,168,12,,AF,,,,,6593 4828
,B ,16,210,13,-2,AF,1,,CD,ZG,6593 4828
,,16,193,12,,AF,,,,,6593 4828
,B,17,175,26,-3,AF,2,,CD,ZS,6593 4828
,,17,191,15,2,AF,4,,,,6593 4828
,B,18,213,12,-2,AF,1,,MS,CD,6593 4828
,,18,190,18,-1,AF,1,,,,6593 4828
,,18,184,6,,AF,,,,,6593 4828
,,18,171,25,-3,AF,0,,,,6593 4828
,B,18,181,18,,BF,,,,,6593 4828
,,18,172,21,,BF,,,CD,ZG,6593 4828
5/5/2025,F,15,218,5,,AF,,,,,6593 4828
,,15,208,5,,AF,,,,,6593 4828
,,15,204,6,,BF,,,,,6593 4828
,B,17,209,6,,AF,,,,,6593 4828
5/8/2025,F,16,208,14,3,AF,0,,CD,MS,6593 4828
,,17,190,18,1,AF,0,STRAIGHTDOWN,,,6593 4828
,,17,187,20,-1,AF,1,,,,6593 4828
,B,18,174,25,1,AF,1,,,,6593 4828
5/9/2025,F,14,184,6,,BF,,,,,6593 4828
,B,15,179,6,,BF,,,,,6593 4828
,B,16,220,5,5,AF,2,,,,6593 4828
,,16,195,6,,AF,,,,,6593 4828
,,16,177,22,-2,AB,4,,,,6593 4828
,,16,184,19,D0,AF,2,,,,6593 4828
,,16,181,21,D0,AF,4,,,,6593 4828
,B,16,177,25,-2,AF,3,,,,6593 4828
,,17,197,6,,AF,,,,,6593 4828
,B,17,195,6,,BF,,,,,6593 4828
,B/2,17,195,18,-4,AF,0,,,,6593 4828
,,17,180,6,,AF,,,,,6593 4828
,,17,179,20,D0,AF,0,,,,6593 4828
,,17,174,15,,BF,,,,,6593 4828
5/10/2025,F,10,208,17,-3,AF,1,,MS,MAS,6593 4828
,,10,174,22,4,AF,2,,,,6593 4828
,B,11,183,22,-3,AF,1,,,,6593 4828
,B,13,216,13,-6,AF,0,,,,6593 4828
,,13,214,9,-1,AF,0,,,,6593 4828
,,13,193,17,D0,AF,2,,,,6593 4828
,,13,173,25,-1,AF,0,,,,6593 4828
,B,14,220,9,D0,AF,3,,,,6593 4828
,,14,200,6,,AF,0,,,,6593 4828
,,14,201,15,-1,AF,1,,,,6593 4828
,,14,194,6,,BF,,,,,6593 4828
,B,15,198,19,-4,AF,1,,,,6593 4828
,B,16,186,20,W0,AF,1,,,,6593 4828
,,16,172,15,,AF,,,,,6593 4828
,B,17,200,19,-5,AF,1,,MS,ZG,6593 4828
,,17,200,6,,AF,,,,,6593 4828
,,17,200,15,-3,AF,0,,,,6593 4828
,,17,192,9,,AF,,,ZG,MS,6593 4828
,,17,179,12,,BF,,W1,,,6593 4828
,,17,172,15,,BF,,W1,,,6593 4828
,,17,172,27,-5,AF,1,W1,,,6593 4828
,,17,155,21,,BF,,W1,,,6593 4828
,,17,191,18,-5,AF,1,W1,,,6593 4828
,B,18,202,17,-5,AF,0,W1,,,6593 4828
,,18,184,6,,BF,,W1,,,6593 4828
,,18,169,21,,BF,,W1,,,6593 4828
,B,19,191,18,,BF,,W1,,,6593 4828
5/11/2025,F,11,182,15,,BF,,,,,6593 4828
,,11,172,15,,AF,,,,,6593 4828
,,11,158,21,,AF,,,,,6593 4828
,B ,13,197,18,-3,AF,0,DEADMAN,,,6593 4828
,,13,176,12,,BF,,,,,6593 4828
,,13,172,33,1,BF,5,,,,6593 4828
,B,13,218,5,,AF,,,MS,ZG,6593 4828
,,14,189,16,D0,AF,0,,,,6593 4828
,,14,189,18,D0,AF,0,,,,6593 4828
,,14,185,19,-3,AF,0,,,,6593 4828
,,14,181,20,2,AF,2,,,,6593 4828
,,14,155,21,,BF,,,,,6593 4828
,B,14,190,12,,AF,,,,,6593 4828
,B,15,197,12,,BF,,,,,6593 4828
,B,15,214,10,-3,AF,0,,,,6593 4828
,,15,216,5,3,AF,0,,,,6593 4828
,,16,203,10,3,AF,2,,,,6593 4828
,,16,200,6,,AF,,,,,6593 4828
,B/2,17,177,24,-4,AF,0,,,,6593 4828
,,17,168,22,3,AF,0,,,,6593 4828
5/12/2025,F,16,210,10,3,AF,4,,TL,MAS,6593 4828
,,17,186,6,,BF,,,CD,MAS,6593 4828
,B,17,197,18,-3,AF,1,,,,6593 4828
,B/2,18,175,27,-6,AF,0,CHARLIE,,,6593 4828
5/15/2025,F,15,208,6,,AF,,,,,6593 4828
,,15,201,12,1,AF,0,,,,6593 4828
,,15,188,18,-1,AF,2,,,,6593 4828
,B,16,213,10,-1,AF,0,,,,6593 4828
,,16,170,34,-6,BF,3,,,,6593 4828
,B,18,171,24,,BF,,,,,6593 4828
,B/2,18,180,15,,BF,,,,,6593 4828
5/16/2025,F,14,189,23,-3,AF,4,,ZG,MAS,6593 4828
,,14,164,24,4,AF,0,,,,6593 4828
,B/2,15,170,26,-3,AF,0,,,,6593 4828
,B,15,209,19,-2,BF,5,RUNNING,,,6593 4828
,,15,210,6,,BF,,,,,6593 4828
,B,15,200,15,-1,AF,0,,,,6593 4828
,B,17,203,14,-1,AF,0,,,,6593 4828
,B,18,191,18,D0,AF,0,,,,6593 4828
,,18,168,26,-2,AF,0,,,,6593 4828
5/17/2025,F,8,208,12,3,AF,2,,JC,ZS,6593 4828
,,9,188,18,,BF,,,,,6593 4828
,,9,184,18,1,AF,0,,,,6593 4828
,,9,181,12,,AF,,,,,6593 4828
,,9,182,21,-1,AF,0,,,,6593 4828
,,9,165,21,,BF,,,,,6593 4828
,B,10,220,6,2,AF,0,STRAIGHTDOWN,,,6593 4828
,,10,207,5,,AF,,,,,6593 4828
,,10,185,19,-3,AF,0,,,,6593 4828
,,10,162,18,,AF,,,,,6593 4828
,,10,168,25,-1,AB,0,DEADMAN,,,6593 4828
,,10,160,18,,AF,,,,,6593 4828
,B,10,185,23,-5,AF,0,,,,6593 4828
,,10,181,15,2,AF,0,STRAIGHTDOWN,,,6593 4828
,,10,175,15,,AF,,,,,6593 4828
,,11,173,15,,AF,,,,,6593 4828
,B/2,11,207,12,D0,AF,0,,,,6593 4828
,,11,199,12,-1,AF,0,,JC,ZG,6593 4828
,,11,197,6,,AF,,,,,6593 4828
,,11,197,13,W0,AF,0,,,,6593 4828
,,11,185,18,-1,AF,2,,,,6593 4828
,,11,179,20,-3,AF,0,STRAIGHTDOWN,,,6593 4828
,,11,173,22,-2,AF,0,,,,6593 4828
,B ,13,178,12,,AF,,,,,6593 4828
,,13,177,20,1,AF,0,,,,6593 4828
,,13,165,25,1,AF,0,,,,6593 4828
,,13,162,31,-5,AF,0,,,,6593 4828
,B ,14,216,10,-2,AF,0,,,,6593 4828
,,14,210,8,2,AF,0,,,,6593 4828
,B/2,14,168,12,,AF,0,,ZG,MAS,6593 4828
,,15,204,10,D0,AF,1,,,,6593 4828
,,15,180,20,1,AF,1,BIGFLOP,,,6593 4828
,B ,15,218,5,3,AF,0,,,,6593 4828
,,15,197,14,D0,AF,0,FLOP,,,6593 4828
,,15,190,9,,BF,,,,,6593 4828
5/25/2025,,,,,,,,,,,6593 4828
,,11,184,6,,AF,,,CD,ZD,6593 4828
,,11,177,6,,AF,,,,,6593 4828
,,11,158,6,,BF,,,,,6593 4828
,B,11,179,20,-1,AF,0,,,,6593 4828
,,11,165,22,W0,AF,1,PUSHDOWN,,,6593 4828
,B,11,157,6,,AB,,,,,6593 4828
,,11,193,15,-2,AF,2,,,,6593 4828
,,11,191,16,-1,AF,1,,,,6593 4828
,,11,187,6,,AF,,,,,6593 4828
,B,13,199,16,-5,AF,0,PUSHDOWN,,,6593 4828
,,13,171,20,2,AF,0,,,,6593 4828
,B,14,195,16,-3,AF,0,,ZG,MAS,6593 4828
,,14,183,17,2,AF,2,,,,6593 4828
,B,15,202,14,-4,AF,0,W3,CD,MAS,6593 4828
,,15,208,9,2,AF,0,,,,6593 4828
,B/2,15,198,14,W0,AF,0,W3,,,6593 4828
,B,16,167,26,-3,AF,0,CHARLIE,,,6593 4828
5/26/2025,F,15,202,14,-1,AF,2,,ZG,MAS,6593 4828
,,15,186,21,-3,AF,4,,,,6593 4828
,,15,181,21,-2,AF,2,,ZG,MAS,6593 4828
,B,16,202,13,1,AF,2,,,,6593 4828
,,16,198,13,-1,AB,1,,,,6593 4828
,,16,195,15,-2,AF,0,,,,6593 4828
,,17,186,18,-3,AF,0,,,,6593 4828
,,17,167,12,,AF,,,,,6593 4828
,B,18,182,22,-2,AF,0,,,,6593 4828
,,18,194,22,,BB,,BACKFLIPS,,,6593 4828
5/27/2025,B,15,205,14,-2,AF,2,,,,6593 4828
,,15,199,13,-1,AF,0,,,,6593 4828
,,15,196,15,-1,AF,1,,,,6593 4828
,,15,188,19,-4,AF,0,,,,6593 4828
,,15,175,19,2,AF,1,,,,6593 4828
,,15,172,22,W0,AF,0,,,,6593 4828
,B,15,196,6,,BF,,,,,6593 4828
5/28/2025,F,14,210,13,1,AF,0,SPINS,,,6593 4828
,B,15,219,8,2,AF,4,,,,6593 4828
,,15,179,20,D0,AF,2,,,,6593 4828
,,15,173,23,2,AF,4,,,,6593 4828
5/29/2025,F,15,191,21,-4,AF,0,,TL,MAS,6593 4828
,,15,179,20,-1,AF,0,,,,6593 4828
,,15,173,24,D0,AF,4,,,,6593 4828
,B,15,173,27,3,BF,,,,,6593 4828
,,15,177,21,-1,AF,,,,,6593 4828
,B,16,160,12,,AF,,,,,6593 4828
,,16,203,6,,AF,,,,,6593 4828
May-25,B,14,222,6,,BB,,,,,6593 4828
,,14,191,18,3,BF,,,,,6593 4828
,B,16,187,12,,AF,,,,,6593 4828
,,16,179,12,,BF,,,,,6593 4828
5/31/2025,F,10,209,6,,AF,,,,,6593 4828
,,10,193,18,-3,AF,3,,,,6593 4828
,B,11,196,9,,AF,,,,,6593 4828
,,11,178,24,-4,AF,0,,,,6593 4828
,,11,169,15,,AF,,,,,6593 4828
,B,12,206,14,1,AF,1,,,,6593 4828
,,12,205,14,-5,AF,1,,MS,ZS,6593 4828
,,12,188,9,,AF,,,,,6593 4828
,B/2,12,161,26,1,AF,0,,,,6593 4828
,B/2,14,194,6,,AF,,,,,6593 4828
,,14,185,9,,AF,,,,,6593 4828
,,14,186,9,,AF,,,,,6593 4828
,B,15,182,9,,AF,,,,,6593 4828
,,15,176,9,,AF,,,,,6593 4828
,,15,175,22,W0,AF,0,SMALLFLOP,,,6593 4828
,B,16,205,6,,AF,,,,,6593 4828
,,16,196,14,-2,AF,0,,,,6593 4828
,,16,177,9,,AB,,,,,6593 4828
,,16,175,9,,AF,0,,,,6593 4828
,B,17,206,16,-5,AF,0,,,,6593 4828
,,17,197,6,,BF,,,,,6593 4828
,B ,18,208,6,,AF,,,,,6593 4828
,,18,177,6,,AF,,,,,6593 4828
,,18,216,6,1,AF,0,,,,6593 4828
6/1/2025,F,11,200,17,W0,AF,2,,ZS,MAS,6593 4828
,B,11,212,6,,AF,,,ZS,ZG,6593 4828
,,11,183,6,,AF,,,ZG,NB,6593 4828
,,11,182,6,,AF,,,,,6593 4828
,,11,179,18,1,AF,3,,,,6593 4828
,,11,174,21,W0,AF,1,FLOP,,,6593 4828
,,11,175,12,,AF,,,,,6593 4828
,,11,173,21,1,AF,1,,,,6593 4828
,,11,168,25,-5,AF,0,STRAIGHTDOWN,,,6593 4828
,B,12,180,6,,AF,,,ZG,RD,6593 4828
,,12,208,6,,AF,,,,,6593 4828
,,12,204,12,,AF,1,,ZG,NB,6593 4828
,,12,191,6,,AF,1,,,,6593 4828
,B/2,12,212,11,-3,AF,1,,,,6593 4828
,,12,174,12,,BB,,,,,6593 4828
,,12,165,22,2,AF,0,,,,6593 4828
,B,13,190,6,,AF,,,,,6593 4828
,,13,184,19,-4,AF,1,,,,6593 4828
,,13,177,21,-3,AF,1,,,,6593 4828
,,13,194,6,,AF,,,,,6593 4828
,,13,181,6,,AF,,,,,6593 4828
,B,13,194,6,,AF,,,,,6593 4828
,,14,186,6,,AF,,,,,6593 4828
,B,14,193,6,,AB,,,,,6593 4828
,,14,181,12,,BF,,,,,6593 4828
,,14,176,12,,AF,,,,,6593 4828
,,15,162,21,,AF,,,,,6593 4828
,B,15,182,6,,AF,,,ZS,MAS,6593 4828
,,15,176,12,,AF,,,ZG,MAS,6593 4828
,,15,172,12,,AF,,,,,6593 4828
,B,15,192,6,,AF,,,,,6593 4828
6/2/2025,B,15,197,17,2,AF,2,,ZG,NB,6593 4828
,B,15,197,17,-2,AF,2,,,,6593 4828
,,15,192,14,D0,AF,1,,,,6593 4828
,,15,171,22,D0,AF,3,,,,6593 4828
,,16,159,24,,AF,,,,,6593 4828
,B,17,208,11,W0,AF,1,,,,6593 4828
,,17,202,6,,AF,,,,,6593 4828
,,17,194,12,,AF,,,,,6593 4828
6/3/2025,F,15,182,25,-4,AF,1,,ZG,MAS,6593 4828
,,15,162,25,2,AF,3,,,,6593 4828
,B ,17,197,6,,AF,,,,,6593 4828
6/4/2025,F,11,197,12,,BF,,,ZG,TL,6593 4828
,B,11,197,9,,BF,,,,,6593 4828
,B,11,197,12,,BF,,,,,6593 4828
,B,15,194,18,-3,AF,0,,,,6593 4828
,,15,167,12,,BF,,,,,6593 4828
6/5/2025,F,15,193,19,-1,AF,1,STRAIGHTDOWN,TL,JA,6593 4828
,B,16,172,24,,BF,,,,,6593 4828
6/6/2025,B,14,194,18,-3,AF,0,,ZG,JA,6593 4828
,,14,169,25,-2,AF,0,,,,6593 4828
,B,15,194,18,-3,AF,0,,,,6593 4828
,,15,185,17,D0,AF,0,FLOP,,,6593 4828
,,15,170,25,-3,AF,0,,,,6593 4828
,B,16,195,18,-3,AF,3,,,,6593 4828
,B,16,189,6,,BF,,,,,6593 4828
,,16,188,17,1,AF,6,,,,6593 4828
,,16,176,12,,BF,,,,,6593 4828
,,16,170,24,-3,AF,1,,,,6593 4828
6/7/2025,F,10,208,13,1,AF,0,,ZG,MAS,6593 4828
,,10,188,17,-1,AF,0,,,,6593 4828
,B,11,197,16,-1,AF,1,,,,6593 4828
,,11,175,22,-4,AF,0,STRAIGHTDOWN,,,6593 4828
,B,12,202,15,-3,AF,0,,,,6593 4828
,B/2,12,191,15,1,AF,2,,,,6593 4828
,,12,185,17,D0,AF,1,,,,6593 4828
,,12,185,18,-1,AF,1,,,,6593 4828
,,12,178,21,-3,AF,1,,,,6593 4828
,,12,179,21,-4,AF,0,STRAIGHTDOWN,,,6593 4828
,,12,201,11,-2,AB,2,,,,6593 4828
,B,12,207,12,-1,AF,0,,MS,ZS,6593 4828
,,14,205,12,-3,AF,2,,,,6593 4828
,,14,189,19,-5,AF,0,STRAIGHTDOWN,,,6593 4828
,,14,181,21,-2,AB,3,CHARLIE,,,6593 4828
,,14,179,20,-3,AF,0,,,,6593 4828
,,14,174,22,-1,AF,0,,,,6593 4828
,B,14,204,15,W0,AF,3,,,,6593 4828
,B,17,205,17,-5,AF,2,,,,6593 4828
,B,17,207,6,,AB,,,,,6593 4828
,B,18,215,8,1,AF,0,,MS,NB,6593 4828
,,18,199,6,,AF,,,,,6593 4828
6/8/2025,F,12,200,6,,AF,,,ZG,RD,6593 4828
,,12,191,17,-2,AF,3,,,,6593 4828
,B,13,190,19,-2,AF,1,,,,6593 4828
,,13,198,20,3,BF,0,,,,6593 4828
,,13,197,14,-2,AF,1,,,,6593 4828
,,13,175,22,-3,AF,0,,,,6593 4828
,,13,165,12,,BF,,,,,6593 4828
,B,15,214,12,-4,AF,1,,ZS,MS,6593 4828
,,15,212,11,-3,AF,1,,,,6593 4828
,,15,198,15,-1,AF,4,,,,6593 4828
,,15,175,22,-1,AF,,,,,6593 4828
,,16,168,26,-3,AF,0,,,,6593 4828
,,16,164,28,-3,AF,2,,,,6593 4828
,B,17,203,15,-2,AB,0,,MS,ZS,6593 4828
,,17,185,20,-5,AF,0,STRAIGHTDOWN,,,6593 4828
,,17,222,6,-1,AF,0,,,,6593 4828
,,17,179,21,-2,AF,0,,,,6593 4828
,,18,176,23,-1,AF,0,,,,6593 4828
,,18,171,25,-5,AF,0,,,,6593 4828
