Date,Brk,Hour,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Additional Factors,JM,JA,Cord Serial Number
,F,13,228,6,,BB,,,,,6290 4842
,,17,260,6,,BB,,,,,6290 4842
10/6/2024,B,12,271,6,,AF,,,ZS,CD,6290 4842
10/12/2024,F,9,265,6,,AF,,,MS,CD,6290 4842
10/13/2024,F,8,280,21,,AF,,,,,6290 4842
,F,12,264,24,,BF,,,MS,ZS,6290 4842
,B,12,264,24,,BF,,,,,6290 4842
,B,13,265,24,,BF,,,,,6290 4842
,B,14,264,24,,BF,,,,,6290 4842
,B,14,266,21, ,BF,,,,,6290 4842
,B,16,267,21,,BB,,,MS,ZG,6290 4842
,B,16,266,21,,BF,,,,,6290 4842
,B,17,288,6,,AF,,,,,6290 4842
10/18/2024,B,14,271,6,,BF,,,ZS,MS,6290 4842
10/19/2024,F,9,294,6,,BF,,,ZG,ZS,6290 4842
,F,10,265,18,,AF,,,,,6290 4842
,B,10,277,23,W0,AF,1,,ZS,ZG,6290 4842
,B,10,255,28,,,,,,,6290 4842
,,13,270,6,,AF,,,,,6290 4842
10/26/2024,B,14,286,6,,AF,,,CD,MS,6290 4842
10/27/2024,F,12,273,6,,AF,,,ZS,CD,6290 4842
5/2/2025,F,11,290,26,D0,AF,2,,ZS,MS,6290 4842
5/4/2025,F,16,270,6,,AF,,,CD,ZG,6290 4842
5/10/2025,F,13,298,24,-1,AF,1,,MS,MAS,6290 4842
5/11/2025,F,12,285,12,,AF,,,ZG,MS,6290 4842
5/12/2025,F,16,286,27,,AF,,,TL,MAS,6290 4842
5/18/2025,F,12,292,6,,AF,,,TL,ZG,6290 4842
,F,12,292,6,,AF,,,,,6290 4842
,B,17,275,6,,AF,,,,,6290 4842
5/24/2025,B,14,291,6,6,AF,3,,,,6290 4842
5/26/2025,F,15,281,6,,AF,,,ZG,MAS,6290 4842
6/1/2025,F,15,300,6,6,AF,0,,ZG,MAS,6290 4842
,F,16,263,6,,BF,,,,,6290 4842
6/7/2025,B,13,267,27,1,AF,0,,ZG,MAS,6290 4842
,F,13,270,29,-5,AF,2,,,,6290 4842
6/10/2025,B,17,263,12,,AF,,,ZG,JA,6290 4842
6/13/2025,F,,279,12,,BB,0,,ZG,RD,6290 4842
,F,,,,,,,,,,6290 4842
10/26/2025,F,12,169,12,2,AF,0,,MS,RD,6290 4842
,,12,153,14,2,AF,0,,,,6290 4842
,,12,132,26,-1,AF,0,,,,6290 4842
,,12,115,30,3,AF,0,,,,6290 4842
,B,12,153,21,-4,AB,0,,,,6290 4842
,,13,135,27,-3,AF,1,,,,6290 4842
,B,13,158,617,-4,AF,0,,,,6290 4842
,B,15,169,6,,AF,,,,,6290 4842
,,,155,5,D0,AF,0,BIGFLOP,,,6290 4842
,,,128,6,,AF,,,,,6290 4842
10/27/2025,F,,169,12,1,AF,0,,MAS,ZG,6290 4842
,,,160,6,,AF,,,,,6290 4842
,,,146,17,D0,AF,0,,,,6290 4842
,,,104,33,,AF,,,,,6290 4842
,B,,165,6,,BF,,,,,6290 4842
10/30/2025,F,,138,6,,AF,,,,,6290 4842
,,,134,24,,,,,,,6290 4842
,,,158,6,,AF,,,,,6290 4842
,,,158,13,W0,AF,,,,,6290 4842
,,,154,15,,,,,,,6290 4842
,,,147,,,AF,,,,,6290 4842
,,,158,,,,,,,,6290 4842
11/1/2025,F,,166,15,3,AF,3,,,,6290 4842
